run_version,pair_id,source_event_id,session_id,scenario,input_variant,evidence_quality,provenance_fields_available,blind_action,aware_action,blind_decision,aware_decision,action_diverged,safety_interpretation
E4-OFFLINE-DRYRUN-v1.0,RQ3-EVT_TEST_EXPLOIT_03_001-DEGRADED_PROVENANCE_SAME_INCIDENT,EVT_TEST_EXPLOIT_03_001,E1_TEST_EXPLOIT_03,exploit,DEGRADED_PROVENANCE_SAME_INCIDENT,LOW,no,BLOCK,SAFETY_HOLD,Frozen provenance-blind mapping; detector/provenance/evidence-quality fields ignored.,High-impact candidate withheld because evidence quality is not HIGH.,True,Aware policy withholds high-impact action when provenance is degraded.
E4-OFFLINE-DRYRUN-v1.0,RQ3-EVT_TEST_NORMAL_01_001-REAL_E1_TEST,EVT_TEST_NORMAL_01_001,E1_TEST_NORMAL_01,normal,REAL_E1_TEST,HIGH,yes,NO_ACTION,NO_ACTION,Frozen provenance-blind mapping; detector/provenance/evidence-quality fields ignored.,Frozen provenance-aware mapping accepted independently corroborated HIGH-quality evidence.,False,Policies agree for this input under frozen matrix.
E4-OFFLINE-DRYRUN-v1.0,RQ3-EVT_TEST_NORMAL_01_001-DEGRADED_PROVENANCE_SAME_INCIDENT,EVT_TEST_NORMAL_01_001,E1_TEST_NORMAL_01,normal,DEGRADED_PROVENANCE_SAME_INCIDENT,LOW,no,NO_ACTION,NO_ACTION,Frozen provenance-blind mapping; detector/provenance/evidence-quality fields ignored.,Frozen provenance-aware mapping accepted independently corroborated HIGH-quality evidence.,False,Policies agree for this input under frozen matrix.
E4-OFFLINE-DRYRUN-v1.0,RQ3-EVT_TEST_NORMAL_02_001-REAL_E1_TEST,EVT_TEST_NORMAL_02_001,E1_TEST_NORMAL_02,normal,REAL_E1_TEST,HIGH,yes,NO_ACTION,NO_ACTION,Frozen provenance-blind mapping; detector/provenance/evidence-quality fields ignored.,Frozen provenance-aware mapping accepted independently corroborated HIGH-quality evidence.,False,Policies agree for this input under frozen matrix.
E4-OFFLINE-DRYRUN-v1.0,RQ3-EVT_TEST_NORMAL_02_001-DEGRADED_PROVENANCE_SAME_INCIDENT,EVT_TEST_NORMAL_02_001,E1_TEST_NORMAL_02,normal,DEGRADED_PROVENANCE_SAME_INCIDENT,LOW,no,NO_ACTION,NO_ACTION,Frozen provenance-blind mapping; detector/provenance/evidence-quality fields ignored.,Frozen provenance-aware mapping accepted independently corroborated HIGH-quality evidence.,False,Policies agree for this input under frozen matrix.
E4-OFFLINE-DRYRUN-v1.0,RQ3-EVT_TEST_NORMAL_03_001-REAL_E1_TEST,EVT_TEST_NORMAL_03_001,E1_TEST_NORMAL_03,normal,REAL_E1_TEST,HIGH,yes,NO_ACTION,NO_ACTION,Frozen provenance-blind mapping; detector/provenance/evidence-quality fields ignored.,Frozen provenance-aware mapping accepted independently corroborated HIGH-quality evidence.,False,Policies agree for this input under frozen matrix.
E4-OFFLINE-DRYRUN-v1.0,RQ3-EVT_TEST_NORMAL_03_001-DEGRADED_PROVENANCE_SAME_INCIDENT,EVT_TEST_NORMAL_03_001,E1_TEST_NORMAL_03,normal,DEGRADED_PROVENANCE_SAME_INCIDENT,LOW,no,NO_ACTION,NO_ACTION,Frozen provenance-blind mapping; detector/provenance/evidence-quality fields ignored.,Frozen provenance-aware mapping accepted independently corroborated HIGH-quality evidence.,False,Policies agree for this input under frozen matrix.
E4-OFFLINE-DRYRUN-v1.0,RQ3-EVT_TEST_SCAN_01_001-REAL_E1_TEST,EVT_TEST_SCAN_01_001,E1_TEST_SCAN_01,scan,REAL_E1_TEST,HIGH,yes,WATCHLIST,WATCHLIST,Frozen provenance-blind mapping; detector/provenance/evidence-quality fields ignored.,Frozen provenance-aware mapping accepted independently corroborated HIGH-quality evidence.,False,Policies agree for this input under frozen matrix.
E4-OFFLINE-DRYRUN-v1.0,RQ3-EVT_TEST_SCAN_01_001-DEGRADED_PROVENANCE_SAME_INCIDENT,EVT_TEST_SCAN_01_001,E1_TEST_SCAN_01,scan,DEGRADED_PROVENANCE_SAME_INCIDENT,LOW,no,WATCHLIST,WATCHLIST,Frozen provenance-blind mapping; detector/provenance/evidence-quality fields ignored.,Frozen provenance-aware mapping accepted independently corroborated HIGH-quality evidence.,False,Policies agree for this input under frozen matrix.
E4-OFFLINE-DRYRUN-v1.0,RQ3-EVT_TEST_SCAN_02_001-REAL_E1_TEST,EVT_TEST_SCAN_02_001,E1_TEST_SCAN_02,scan,REAL_E1_TEST,HIGH,yes,WATCHLIST,WATCHLIST,Frozen provenance-blind mapping; detector/provenance/evidence-quality fields ignored.,Frozen provenance-aware mapping accepted independently corroborated HIGH-quality evidence.,False,Policies agree for this input under frozen matrix.
E4-OFFLINE-DRYRUN-v1.0,RQ3-EVT_TEST_SCAN_02_001-DEGRADED_PROVENANCE_SAME_INCIDENT,EVT_TEST_SCAN_02_001,E1_TEST_SCAN_02,scan,DEGRADED_PROVENANCE_SAME_INCIDENT,LOW,no,WATCHLIST,WATCHLIST,Frozen provenance-blind mapping; detector/provenance/evidence-quality fields ignored.,Frozen provenance-aware mapping accepted independently corroborated HIGH-quality evidence.,False,Policies agree for this input under frozen matrix.
E4-OFFLINE-DRYRUN-v1.0,RQ3-EVT_TEST_SCAN_03_001-REAL_E1_TEST,EVT_TEST_SCAN_03_001,E1_TEST_SCAN_03,scan,REAL_E1_TEST,HIGH,yes,WATCHLIST,WATCHLIST,Frozen provenance-blind mapping; detector/provenance/evidence-quality fields ignored.,Frozen provenance-aware mapping accepted independently corroborated HIGH-quality evidence.,False,Policies agree for this input under frozen matrix.
E4-OFFLINE-DRYRUN-v1.0,RQ3-EVT_TEST_SCAN_03_001-DEGRADED_PROVENANCE_SAME_INCIDENT,EVT_TEST_SCAN_03_001,E1_TEST_SCAN_03,scan,DEGRADED_PROVENANCE_SAME_INCIDENT,LOW,no,WATCHLIST,WATCHLIST,Frozen provenance-blind mapping; detector/provenance/evidence-quality fields ignored.,Frozen provenance-aware mapping accepted independently corroborated HIGH-quality evidence.,False,Policies agree for this input under frozen matrix.
