case_id,source,session_id,common_S6_trigger,expected_route_Lam_self_reference,permissible_routes_Lam_self_reference,provenance_blind_route,evidence_aware_route,route_label_changed,reference_evaluable,blind_exact_self_reference_match,aware_exact_self_reference_match,blind_permissible_self_reference_match,aware_permissible_self_reference_match,independent_reference,Cuong_expected_route_signoff,actual_action_evaluated
CASE006,primary,E1_TEST_BRUTE_02,1,RF_EVIDENCE_REVIEW,GENERAL_REVIEW|RF_EVIDENCE_REVIEW,GENERAL_REVIEW,RF_EVIDENCE_REVIEW,1,1,0,1,1,1,NO,NO,NO
CASE006,supplementary,E1_TEST_BRUTE_02,1,RF_EVIDENCE_REVIEW,GENERAL_REVIEW|RF_EVIDENCE_REVIEW,GENERAL_REVIEW,RF_EVIDENCE_REVIEW,1,1,0,1,1,1,NO,NO,NO
CASE007,primary,E1_TEST_BRUTE_03,1,RF_EVIDENCE_REVIEW,GENERAL_REVIEW|RF_EVIDENCE_REVIEW,GENERAL_REVIEW,RF_EVIDENCE_REVIEW,1,1,0,1,1,1,NO,NO,NO
CASE007,supplementary,E1_TEST_BRUTE_03,1,RF_EVIDENCE_REVIEW,GENERAL_REVIEW|RF_EVIDENCE_REVIEW,GENERAL_REVIEW,RF_EVIDENCE_REVIEW,1,1,0,1,1,1,NO,NO,NO
CASE008,primary,E1_TEST_SCAN_01,1,RF_EVIDENCE_REVIEW,GENERAL_REVIEW|RF_EVIDENCE_REVIEW,GENERAL_REVIEW,RF_EVIDENCE_REVIEW,1,1,0,1,1,1,NO,NO,NO
CASE008,supplementary,E1_TEST_SCAN_01,1,RF_EVIDENCE_REVIEW,GENERAL_REVIEW|RF_EVIDENCE_REVIEW,GENERAL_REVIEW,RF_EVIDENCE_REVIEW,1,1,0,1,1,1,NO,NO,NO
CASE009,primary,E1_TEST_SCAN_03,1,RF_EVIDENCE_REVIEW,GENERAL_REVIEW|RF_EVIDENCE_REVIEW,GENERAL_REVIEW,RF_EVIDENCE_REVIEW,1,1,0,1,1,1,NO,NO,NO
CASE009,supplementary,E1_TEST_SCAN_03,1,RF_EVIDENCE_REVIEW,GENERAL_REVIEW|RF_EVIDENCE_REVIEW,GENERAL_REVIEW,RF_EVIDENCE_REVIEW,1,1,0,1,1,1,NO,NO,NO
CASE010,primary,E1_TEST_DOS_02,1,RF_EVIDENCE_REVIEW,GENERAL_REVIEW|RF_EVIDENCE_REVIEW,GENERAL_REVIEW,RF_EVIDENCE_REVIEW,1,1,0,1,1,1,NO,NO,NO
CASE010,supplementary,E1_TEST_DOS_02,1,GENERAL_REVIEW,GENERAL_REVIEW,GENERAL_REVIEW,PRIORITY_REVIEW,1,1,1,0,1,0,NO,NO,NO
CASE011,primary,E1_TEST_NORMAL_01,1,RF_EVIDENCE_REVIEW,GENERAL_REVIEW|RF_EVIDENCE_REVIEW,GENERAL_REVIEW,RF_EVIDENCE_REVIEW,1,1,0,1,1,1,NO,NO,NO
CASE011,supplementary,E1_TEST_NORMAL_01,1,RF_EVIDENCE_REVIEW,GENERAL_REVIEW|RF_EVIDENCE_REVIEW,GENERAL_REVIEW,RF_EVIDENCE_REVIEW,1,1,0,1,1,1,NO,NO,NO
CASE012,primary,E1_TEST_SCAN_02,1,RF_EVIDENCE_REVIEW,GENERAL_REVIEW|RF_EVIDENCE_REVIEW,GENERAL_REVIEW,RF_EVIDENCE_REVIEW,1,1,0,1,1,1,NO,NO,NO
CASE012,supplementary,E1_TEST_SCAN_02,1,RF_EVIDENCE_REVIEW,GENERAL_REVIEW|RF_EVIDENCE_REVIEW,GENERAL_REVIEW,RF_EVIDENCE_REVIEW,1,1,0,1,1,1,NO,NO,NO
CASE013,primary,E1_TEST_NORMAL_02,1,RF_EVIDENCE_REVIEW,GENERAL_REVIEW|RF_EVIDENCE_REVIEW,GENERAL_REVIEW,RF_EVIDENCE_REVIEW,1,1,0,1,1,1,NO,NO,NO
CASE013,supplementary,E1_TEST_NORMAL_02,1,RF_EVIDENCE_REVIEW,GENERAL_REVIEW|RF_EVIDENCE_REVIEW,GENERAL_REVIEW,RF_EVIDENCE_REVIEW,1,1,0,1,1,1,NO,NO,NO
CASE014,primary,E1_TEST_DOS_03,1,RF_EVIDENCE_REVIEW,GENERAL_REVIEW|RF_EVIDENCE_REVIEW,GENERAL_REVIEW,RF_EVIDENCE_REVIEW,1,1,0,1,1,1,NO,NO,NO
CASE014,supplementary,E1_TEST_DOS_03,1,GENERAL_REVIEW,GENERAL_REVIEW,GENERAL_REVIEW,PRIORITY_REVIEW,1,1,1,0,1,0,NO,NO,NO
CASE015,primary,E1_TEST_EXPLOIT_01,1,RF_EVIDENCE_REVIEW,GENERAL_REVIEW|RF_EVIDENCE_REVIEW,GENERAL_REVIEW,RF_EVIDENCE_REVIEW,1,1,0,1,1,1,NO,NO,NO
CASE015,supplementary,E1_TEST_EXPLOIT_01,1,GENERAL_REVIEW,GENERAL_REVIEW,GENERAL_REVIEW,PRIORITY_REVIEW,1,1,1,0,1,0,NO,NO,NO
